2000-01-01 00:00:00.0,0,TCP,1.1.1.1:1111,2.2.2.2:2222,100,0
2000-01-01 00:00:01.0,0,TCP,3.3.3.3:3333,2.2.2.2:2222,50,0
2000-01-01 00:00:02.0,0,TCP,4.4.4.4:4444,2.2.2.2:2222,50,0
2000-01-01 00:00:03.0,0,TCP,5.5.5.5:5555,2.2.2.2:2222,75,0
2000-01-01 00:00:04.0,0,TCP,2.2.2.2:2222,1.1.1.1:1111,75,0
2000-01-01 00:00:05.0,0,TCP,2.2.2.2:2222,3.3.3.3:3333,75,0
2000-01-01 00:00:06.0,0,TCP,2.2.2.2:2222,4.4.4.4:4444,150,0
2000-01-01 00:00:07.0,0,TCP,2.2.2.2:2222,5.5.5.5:5555,200,0
2000-01-01 00:00:08.0,0,TCP,6.6.6.6:6666,2.2.2.2:2222,100,0
2000-01-01 00:00:09.0,0,TCP,7.7.7.7:7777,2.2.2.2:2222,50,0
2000-01-01 00:00:10.0,0,TCP,3.3.3.3:3333,2.2.2.2:2222,200,0
2000-01-01 00:00:11.0,0,TCP,3.3.3.3:3333,2.2.2.2:2222,25,0
2000-01-01 00:00:12.0,0,TCP,8.8.8.8:8888,2.2.2.2:2222,250,0
2000-01-01 00:00:13.0,0,TCP,2.2.2.2:2222,3.3.3.3:3333,200,1
2000-01-01 00:00:14.0,0,TCP,2.2.2.2:2222,3.3.3.3:3333,25,0
2000-01-01 00:00:15.0,0,TCP,1.1.1.1:1111,2.2.2.2:2222,225,0
2000-01-01 00:00:18.0,0,TCP,3.3.3.3:3333,2.2.2.2:2222,225,0
